key,forms,path
subanta:rAma:pum:1:1,rAmaH,1.2.45 4.1.2 1.3.2 1.3.9 1.1.73 1.1.43 1.1.73 1.1.43 1.4.13 1.4.14 8.2.66 1.3.2 8.3.15 8.4.68
subanta:rAma:pum:1:2,rAmO,1.2.45 4.1.2 1.1.73 1.1.43 1.1.73 1.1.43 1.4.13 1.4.14 6.1.104 6.1.88
subanta:rAma:pum:1:3,rAmAH,1.2.45 4.1.2 1.3.4 1.3.7 1.3.9 1.1.73 1.1.43 1.1.73 1.1.43 1.4.13 1.4.14 6.1.102 6.1.101 8.2.66 1.3.2 8.3.15
subanta:rAma:pum:2:1,rAmam,1.2.45 4.1.2 1.3.4 1.1.73 1.1.43 1.1.73 1.1.43 1.4.13 1.4.14 6.1.107 8.4.68
subanta:rAma:pum:2:2,rAmO,1.2.45 4.1.2 1.3.3 1.3.9 1.1.73 1.1.43 1.1.73 1.1.43 1.4.13 1.4.14 6.1.104 6.1.88
subanta:rAma:pum:2:3,rAmAn,1.2.45 4.1.2 1.3.4 1.3.8 1.3.9 1.1.73 1.1.73 1.4.13 1.4.18 1.4.14 6.1.102 6.1.103 6.1.101 8.4.37
subanta:rAma:pum:3:1,rAmeRa,1.2.45 4.1.2 1.3.7 1.3.9 1.1.73 1.1.73 1.4.13 7.1.12 1.4.18 1.4.14 6.1.87 8.4.2 8.4.68
subanta:rAma:pum:3:2,rAmAByAm,1.2.45 4.1.2 1.3.4 1.1.73 1.1.73 1.4.13 1.4.17 1.4.14 7.3.102
subanta:rAma:pum:3:3,rAmEH,1.2.45 4.1.2 1.3.4 1.1.73 1.1.73 1.4.13 7.1.9 1.4.18 1.4.14 6.1.88 8.2.66 1.3.2 8.3.15
subanta:rAma:pum:4:1,rAmAya,1.2.45 4.1.2 1.3.8 1.3.9 1.1.73 1.1.73 1.4.13 7.1.13 1.4.18 1.4.14 7.3.102 8.4.68
subanta:rAma:pum:4:2,rAmAByAm,1.2.45 4.1.2 1.3.4 1.1.73 1.1.73 1.4.13 1.4.17 1.4.14 7.3.102
